skill_id	prereq_id	source	type
khan.addition-and-subtraction-word-problems-within-100--level-3	khan.addition-and-subtraction-word-problems-within-100--level-2	khan	prerequisite
khan.addition-and-subtraction-word-problems-within-100--level-4	khan.addition-and-subtraction-word-problems-within-100--level-3	khan	prerequisite
khan.adding-and-subtracting-on-the-number-line-word-problems	khan.addition-and-subtraction-word-problems-within-20--level-1	khan	prerequisite
khan.adding-and-subtracting-on-the-number-line-word-problems	khan.subtraction_3	khan	prerequisite
khan.meaning-of-multiplication	khan.repeated-addition	khan	prerequisite
khan.counting-money--us-	khan.subtraction_3	khan	prerequisite
khan.add-within-1000--level-1	khan.add-within-100--level-2	khan	prerequisite
khan.add-within-1000--level-1	khan.break-apart-three-dig-add	khan	prerequisite
khan.length-word-problems	khan.measuring-lengths-1	khan	prerequisite
khan.length-word-problems	khan.subtraction_3	khan	prerequisite
khan.solving-problems-with-bar-graphs-2	khan.solving-problems-with-bar-graphs-1	khan	prerequisite
khan.solving-problems-with-bar-graphs-2	khan.subtraction_3	khan	prerequisite
khan.multiplying-by-3	khan.meaning-of-multiplication	khan	prerequisite
khan.multiplying-by-2	khan.meaning-of-multiplication	khan	prerequisite
khan.multiplying-by-0-or-1	khan.meaning-of-multiplication	khan	prerequisite
khan.add-within-1000--level-2	khan.add-within-1000--level-1	khan	prerequisite
khan.subtract-within-1000--level-1	khan.add-within-1000--level-1	khan	prerequisite
khan.subtract-within-1000--level-1	khan.subtract-within-100-level-2	khan	prerequisite
khan.multiplying-by-6	khan.multiplying-by-3	khan	prerequisite
khan.multiplying-by-4	khan.multiplying-by-2	khan	prerequisite
khan.multiplying-by-5	khan.multiplying-by-2	khan	prerequisite
khan.subtract-within-1000--level-2	khan.add-within-1000--level-2	khan	prerequisite
khan.subtract-within-1000--level-2	khan.subtract-within-1000--level-1	khan	prerequisite
khan.multiplying-by-7	khan.multiplying-by-6	khan	prerequisite
khan.multiplying-by-9	khan.multiplying-by-6	khan	prerequisite
khan.multiplying-by-8	khan.multiplying-by-4	khan	prerequisite
khan.adding-and-subtracting-within-1000-using-a-number-line	khan.add-within-1000--level-2	khan	prerequisite
khan.adding-and-subtracting-within-1000-using-a-number-line	khan.subtract-within-1000--level-2	khan	prerequisite
khan.meaning-of-division	khan.meaning-of-multiplication	khan	prerequisite
khan.recognizing_fractions_0.5	khan.cutting-shapes-into-equal-parts	khan	prerequisite
khan.dividing-by-3	khan.meaning-of-division	khan	prerequisite
khan.dividing-by-2	khan.meaning-of-division	khan	prerequisite
khan.dividing-by-1	khan.meaning-of-division	khan	prerequisite
khan.dividing-by-6	khan.dividing-by-3	khan	prerequisite
khan.dividing-by-4	khan.dividing-by-2	khan	prerequisite
khan.dividing-by-5	khan.dividing-by-2	khan	prerequisite
khan.dividing-by-7	khan.dividing-by-6	khan	prerequisite
khan.dividing-by-9	khan.dividing-by-6	khan	prerequisite
khan.dividing-by-8	khan.dividing-by-4	khan	prerequisite
khan.dividing-by-10	khan.dividing-by-1	khan	prerequisite
khan.dividing-by-10	khan.dividing-by-5	khan	prerequisite
khan.multiplication_0.5	khan.meaning-of-multiplication	khan	prerequisite
khan.making-100-and-1000	khan.breaking-apart-two-digit-addition-problems	khan	prerequisite
khan.multiplication_1	khan.multiplication_0.5	khan	prerequisite
khan.division_0.5	khan.multiplication_0.5	khan	prerequisite
